,Transaction Date,Item,Quantity
0,2023-01-01,Cake,7
1,2023-01-01,Coffee,8
2,2023-01-01,Juice,6
3,2023-01-01,Salad,2
4,2023-01-01,Sandwich,11
5,2023-01-01,Smoothie,2
6,2023-01-01,Tea,3
7,2023-01-02,Cake,3
8,2023-01-02,Cookie,9
9,2023-01-02,Salad,4
10,2023-01-02,Sandwich,9
11,2023-01-02,Smoothie,3
12,2023-01-02,Tea,2
13,2023-01-03,Cake,9
14,2023-01-03,Coffee,3
15,2023-01-03,Cookie,4
16,2023-01-03,Juice,9
17,2023-01-03,Salad,5
18,2023-01-03,Sandwich,6
19,2023-01-04,Cake,3
20,2023-01-04,Coffee,11
21,2023-01-04,Juice,6
22,2023-01-04,Salad,9
23,2023-01-04,Sandwich,10
24,2023-01-04,Smoothie,13
25,2023-01-04,Tea,2
26,2023-01-05,Cake,9
27,2023-01-05,Coffee,10
28,2023-01-05,Cookie,7
29,2023-01-05,Juice,18
30,2023-01-05,Salad,18
31,2023-01-05,Sandwich,14
32,2023-01-05,Smoothie,1
33,2023-01-05,Tea,12
34,2023-01-06,Cake,4
35,2023-01-06,Coffee,23
36,2023-01-06,Cookie,5
37,2023-01-06,Juice,8
38,2023-01-06,Salad,7
39,2023-01-06,Sandwich,12
40,2023-01-06,Smoothie,4
41,2023-01-06,Tea,17
42,2023-01-07,Cake,5
43,2023-01-07,Coffee,1
44,2023-01-07,Cookie,17
45,2023-01-07,Juice,4
46,2023-01-07,Salad,4
47,2023-01-07,Sandwich,2
48,2023-01-07,Smoothie,13
49,2023-01-07,Tea,3
50,2023-01-08,Cake,13
51,2023-01-08,Coffee,10
52,2023-01-08,Juice,2
53,2023-01-08,Salad,13
54,2023-01-08,Sandwich,8
55,2023-01-08,Smoothie,7
56,2023-01-08,Tea,4
57,2023-01-09,Coffee,22
58,2023-01-09,Cookie,3
59,2023-01-09,Juice,2
60,2023-01-09,Salad,9
61,2023-01-09,Sandwich,1
62,2023-01-09,Smoothie,11
63,2023-01-09,Tea,4
64,2023-01-10,Cake,7
65,2023-01-10,Coffee,5
66,2023-01-10,Cookie,7
67,2023-01-10,Juice,20
68,2023-01-10,Salad,10
69,2023-01-10,Sandwich,9
70,2023-01-10,Smoothie,2
71,2023-01-11,Cake,6
72,2023-01-11,Coffee,8
73,2023-01-11,Cookie,4
74,2023-01-11,Juice,4
75,2023-01-11,Salad,4
76,2023-01-11,Sandwich,7
77,2023-01-11,Smoothie,3
78,2023-01-11,Tea,6
79,2023-01-12,Cake,7
80,2023-01-12,Coffee,5
81,2023-01-12,Cookie,5
82,2023-01-12,Juice,20
83,2023-01-12,Salad,13
84,2023-01-12,Sandwich,16
85,2023-01-12,Smoothie,10
86,2023-01-12,Tea,7
87,2023-01-13,Cake,5
88,2023-01-13,Coffee,1
89,2023-01-13,Cookie,4
90,2023-01-13,Juice,12
91,2023-01-13,Salad,5
92,2023-01-13,Sandwich,14
93,2023-01-13,Smoothie,7
94,2023-01-14,Coffee,4
95,2023-01-14,Cookie,16
96,2023-01-14,Juice,13
97,2023-01-14,Salad,11
98,2023-01-14,Sandwich,7
99,2023-01-14,Smoothie,6
100,2023-01-14,Tea,12
101,2023-01-15,Cake,3
102,2023-01-15,Coffee,5
103,2023-01-15,Cookie,4
104,2023-01-15,Juice,9
105,2023-01-15,Salad,4
106,2023-01-15,Sandwich,6
107,2023-01-15,Smoothie,4
108,2023-01-15,Tea,9
109,2023-01-16,Cake,3
110,2023-01-16,Coffee,2
111,2023-01-16,Cookie,7
112,2023-01-16,Juice,7
113,2023-01-16,Salad,4
114,2023-01-16,Sandwich,21
115,2023-01-16,Smoothie,6
116,2023-01-17,Cake,10
117,2023-01-17,Cookie,10
118,2023-01-17,Juice,11
119,2023-01-17,Salad,10
120,2023-01-17,Sandwich,11
121,2023-01-17,Smoothie,5
122,2023-01-17,Tea,14
123,2023-01-18,Cake,9
124,2023-01-18,Coffee,8
125,2023-01-18,Cookie,10
126,2023-01-18,Juice,5
127,2023-01-18,Salad,9
128,2023-01-18,Sandwich,6
129,2023-01-18,Smoothie,5
130,2023-01-18,Tea,4
131,2023-01-19,Cake,13
132,2023-01-19,Coffee,5
133,2023-01-19,Cookie,14
134,2023-01-19,Juice,5
135,2023-01-19,Salad,1
136,2023-01-19,Smoothie,2
137,2023-01-19,Tea,8
138,2023-01-20,Cake,16
139,2023-01-20,Coffee,8
140,2023-01-20,Cookie,8
141,2023-01-20,Juice,4
142,2023-01-20,Salad,6
143,2023-01-20,Sandwich,1
144,2023-01-20,Tea,5
145,2023-01-21,Cake,15
146,2023-01-21,Coffee,12
147,2023-01-21,Cookie,3
148,2023-01-21,Juice,12
149,2023-01-21,Salad,10
150,2023-01-21,Sandwich,15
151,2023-01-21,Smoothie,1
152,2023-01-21,Tea,7
153,2023-01-22,Coffee,8
154,2023-01-22,Cookie,3
155,2023-01-22,Juice,17
156,2023-01-22,Salad,8
157,2023-01-22,Sandwich,6
158,2023-01-22,Smoothie,2
159,2023-01-22,Tea,4
160,2023-01-23,Cake,4
161,2023-01-23,Coffee,7
162,2023-01-23,Cookie,1
163,2023-01-23,Juice,7
164,2023-01-23,Salad,12
165,2023-01-23,Sandwich,11
166,2023-01-23,Tea,5
167,2023-01-24,Cake,4
168,2023-01-24,Coffee,2
169,2023-01-24,Cookie,4
170,2023-01-24,Juice,14
171,2023-01-24,Salad,5
172,2023-01-24,Sandwich,9
173,2023-01-24,Smoothie,1
174,2023-01-25,Cake,14
175,2023-01-25,Coffee,8
176,2023-01-25,Juice,19
177,2023-01-25,Salad,3
178,2023-01-25,Sandwich,8
179,2023-01-25,Smoothie,4
180,2023-01-25,Tea,10
181,2023-01-26,Cake,5
182,2023-01-26,Coffee,8
183,2023-01-26,Cookie,15
184,2023-01-26,Juice,9
185,2023-01-26,Salad,2
186,2023-01-26,Sandwich,4
187,2023-01-26,Smoothie,1
188,2023-01-26,Tea,15
189,2023-01-27,Cake,3
190,2023-01-27,Coffee,2
191,2023-01-27,Cookie,10
192,2023-01-27,Juice,13
193,2023-01-27,Salad,9
194,2023-01-27,Sandwich,11
195,2023-01-27,Smoothie,3
196,2023-01-27,Tea,6
197,2023-01-28,Cake,15
198,2023-01-28,Coffee,5
199,2023-01-28,Cookie,4
200,2023-01-28,Salad,12
201,2023-01-28,Sandwich,7
202,2023-01-28,Smoothie,13
203,2023-01-28,Tea,10
204,2023-01-29,Cake,8
205,2023-01-29,Coffee,2
206,2023-01-29,Cookie,19
207,2023-01-29,Juice,2
208,2023-01-29,Salad,10
209,2023-01-29,Sandwich,7
210,2023-01-29,Smoothie,8
211,2023-01-29,Tea,11
212,2023-01-30,Cake,17
213,2023-01-30,Coffee,8
214,2023-01-30,Cookie,4
215,2023-01-30,Juice,21
216,2023-01-30,Salad,10
217,2023-01-30,Sandwich,10
218,2023-01-30,Smoothie,8
219,2023-01-30,Tea,10
220,2023-01-31,Cake,7
221,2023-01-31,Coffee,7
222,2023-01-31,Cookie,2
223,2023-01-31,Juice,10
224,2023-01-31,Salad,4
225,2023-01-31,Sandwich,7
226,2023-01-31,Smoothie,5
227,2023-01-31,Tea,9
228,2023-02-01,Cake,11
229,2023-02-01,Coffee,3
230,2023-02-01,Cookie,14
231,2023-02-01,Juice,1
232,2023-02-01,Salad,7
233,2023-02-01,Sandwich,3
234,2023-02-01,Smoothie,12
235,2023-02-01,Tea,7
236,2023-02-02,Cake,4
237,2023-02-02,Coffee,10
238,2023-02-02,Juice,9
239,2023-02-02,Sandwich,9
240,2023-02-02,Smoothie,8
241,2023-02-02,Tea,1
242,2023-02-03,Cake,13
243,2023-02-03,Coffee,18
244,2023-02-03,Cookie,5
245,2023-02-03,Juice,17
246,2023-02-03,Salad,10
247,2023-02-03,Sandwich,6
248,2023-02-03,Tea,2
249,2023-02-04,Coffee,4
250,2023-02-04,Cookie,7
251,2023-02-04,Juice,10
252,2023-02-04,Salad,9
253,2023-02-04,Sandwich,5
254,2023-02-04,Smoothie,15
255,2023-02-05,Cake,10
256,2023-02-05,Coffee,3
257,2023-02-05,Juice,5
258,2023-02-05,Salad,13
259,2023-02-05,Sandwich,5
260,2023-02-05,Smoothie,6
261,2023-02-05,Tea,6
262,2023-02-06,Cake,10
263,2023-02-06,Coffee,11
264,2023-02-06,Cookie,9
265,2023-02-06,Juice,22
266,2023-02-06,Salad,3
267,2023-02-06,Smoothie,5
268,2023-02-06,Tea,23
269,2023-02-07,Cake,7
270,2023-02-07,Coffee,8
271,2023-02-07,Cookie,24
272,2023-02-07,Juice,13
273,2023-02-07,Salad,10
274,2023-02-07,Sandwich,3
275,2023-02-07,Smoothie,7
276,2023-02-07,Tea,17
277,2023-02-08,Cake,3
278,2023-02-08,Coffee,4
279,2023-02-08,Cookie,7
280,2023-02-08,Juice,1
281,2023-02-08,Salad,11
282,2023-02-08,Sandwich,4
283,2023-02-08,Smoothie,3
284,2023-02-08,Tea,13
285,2023-02-09,Cake,6
286,2023-02-09,Coffee,22
287,2023-02-09,Juice,8
288,2023-02-09,Salad,2
289,2023-02-09,Smoothie,13
290,2023-02-09,Tea,11
291,2023-02-10,Cake,6
292,2023-02-10,Coffee,9
293,2023-02-10,Cookie,5
294,2023-02-10,Juice,9
295,2023-02-10,Salad,4
296,2023-02-10,Sandwich,14
297,2023-02-10,Smoothie,15
298,2023-02-10,Tea,11
299,2023-02-11,Cake,7
300,2023-02-11,Coffee,5
301,2023-02-11,Cookie,4
302,2023-02-11,Juice,9
303,2023-02-11,Salad,10
304,2023-02-11,Sandwich,17
305,2023-02-12,Cake,5
306,2023-02-12,Cookie,9
307,2023-02-12,Salad,10
308,2023-02-12,Sandwich,10
309,2023-02-12,Tea,5
310,2023-02-13,Cake,6
311,2023-02-13,Coffee,18
312,2023-02-13,Cookie,8
313,2023-02-13,Juice,7
314,2023-02-13,Salad,1
315,2023-02-13,Sandwich,11
316,2023-02-13,Smoothie,5
317,2023-02-13,Tea,8
318,2023-02-14,Cake,7
319,2023-02-14,Coffee,20
320,2023-02-14,Cookie,10
321,2023-02-14,Juice,8
322,2023-02-14,Salad,4
323,2023-02-14,Tea,12
324,2023-02-15,Cake,5
325,2023-02-15,Coffee,9
326,2023-02-15,Cookie,14
327,2023-02-15,Juice,10
328,2023-02-15,Salad,6
329,2023-02-15,Sandwich,5
330,2023-02-15,Smoothie,21
331,2023-02-15,Tea,10
332,2023-02-16,Cake,13
333,2023-02-16,Coffee,4
334,2023-02-16,Cookie,7
335,2023-02-16,Juice,12
336,2023-02-16,Salad,3
337,2023-02-16,Sandwich,11
338,2023-02-16,Smoothie,12
339,2023-02-16,Tea,13
340,2023-02-17,Coffee,2
341,2023-02-17,Cookie,3
342,2023-02-17,Juice,10
343,2023-02-17,Sandwich,7
344,2023-02-17,Smoothie,5
345,2023-02-17,Tea,8
346,2023-02-18,Cake,6
347,2023-02-18,Coffee,23
348,2023-02-18,Cookie,2
349,2023-02-18,Juice,13
350,2023-02-18,Salad,9
351,2023-02-18,Sandwich,8
352,2023-02-18,Smoothie,3
353,2023-02-18,Tea,8
354,2023-02-19,Cake,18
355,2023-02-19,Coffee,10
356,2023-02-19,Cookie,5
357,2023-02-19,Juice,12
358,2023-02-19,Salad,15
359,2023-02-19,Sandwich,5
360,2023-02-19,Smoothie,1
361,2023-02-19,Tea,4
362,2023-02-20,Cake,5
363,2023-02-20,Coffee,7
364,2023-02-20,Cookie,3
365,2023-02-20,Juice,13
366,2023-02-20,Salad,5
367,2023-02-20,Sandwich,10
368,2023-02-20,Smoothie,3
369,2023-02-20,Tea,7
370,2023-02-21,Cake,16
371,2023-02-21,Coffee,19
372,2023-02-21,Cookie,4
373,2023-02-21,Juice,7
374,2023-02-21,Salad,6
375,2023-02-21,Sandwich,7
376,2023-02-21,Smoothie,8
377,2023-02-21,Tea,11
378,2023-02-22,Cake,2
379,2023-02-22,Coffee,7
380,2023-02-22,Juice,8
381,2023-02-22,Salad,11
382,2023-02-22,Sandwich,8
383,2023-02-22,Smoothie,3
384,2023-02-22,Tea,5
385,2023-02-23,Cookie,4
386,2023-02-23,Juice,3
387,2023-02-23,Salad,4
388,2023-02-23,Sandwich,1
389,2023-02-23,Smoothie,11
390,2023-02-23,Tea,2
391,2023-02-24,Cake,1
392,2023-02-24,Coffee,6
393,2023-02-24,Cookie,2
394,2023-02-24,Juice,21
395,2023-02-24,Salad,10
396,2023-02-24,Sandwich,15
397,2023-02-24,Smoothie,6
398,2023-02-24,Tea,2
399,2023-02-25,Cake,7
400,2023-02-25,Coffee,8
401,2023-02-25,Cookie,7
402,2023-02-25,Juice,10
403,2023-02-25,Salad,7
404,2023-02-25,Sandwich,13
405,2023-02-25,Smoothie,10
406,2023-02-26,Cake,3
407,2023-02-26,Coffee,5
408,2023-02-26,Cookie,11
409,2023-02-26,Juice,6
410,2023-02-26,Salad,4
411,2023-02-26,Sandwich,8
412,2023-02-26,Smoothie,3
413,2023-02-26,Tea,9
414,2023-02-27,Cake,11
415,2023-02-27,Coffee,5
416,2023-02-27,Cookie,10
417,2023-02-27,Juice,13
418,2023-02-27,Salad,11
419,2023-02-27,Sandwich,3
420,2023-02-27,Smoothie,5
421,2023-02-27,Tea,15
422,2023-02-28,Cake,2
423,2023-02-28,Coffee,12
424,2023-02-28,Juice,19
425,2023-02-28,Salad,3
426,2023-02-28,Sandwich,3
427,2023-02-28,Smoothie,10
428,2023-02-28,Tea,14
429,2023-03-01,Cake,6
430,2023-03-01,Coffee,5
431,2023-03-01,Cookie,9
432,2023-03-01,Juice,4
433,2023-03-01,Salad,4
434,2023-03-01,Sandwich,5
435,2023-03-01,Smoothie,2
436,2023-03-01,Tea,15
437,2023-03-02,Cake,5
438,2023-03-02,Coffee,16
439,2023-03-02,Cookie,16
440,2023-03-02,Juice,5
441,2023-03-02,Salad,8
442,2023-03-02,Sandwich,11
443,2023-03-02,Smoothie,3
444,2023-03-02,Tea,12
445,2023-03-03,Cake,5
446,2023-03-03,Coffee,19
447,2023-03-03,Cookie,5
448,2023-03-03,Juice,5
449,2023-03-03,Salad,3
450,2023-03-03,Smoothie,5
451,2023-03-03,Tea,9
452,2023-03-04,Cake,3
453,2023-03-04,Coffee,4
454,2023-03-04,Cookie,14
455,2023-03-04,Juice,10
456,2023-03-04,Salad,10
457,2023-03-04,Sandwich,5
458,2023-03-04,Smoothie,3
459,2023-03-04,Tea,5
460,2023-03-05,Cake,10
461,2023-03-05,Coffee,6
462,2023-03-05,Cookie,5
463,2023-03-05,Juice,6
464,2023-03-05,Salad,6
465,2023-03-05,Sandwich,12
466,2023-03-05,Smoothie,6
467,2023-03-05,Tea,3
468,2023-03-06,Cake,8
469,2023-03-06,Coffee,23
470,2023-03-06,Cookie,5
471,2023-03-06,Juice,10
472,2023-03-06,Salad,4
473,2023-03-06,Sandwich,20
474,2023-03-06,Smoothie,7
475,2023-03-06,Tea,9
476,2023-03-07,Cake,12
477,2023-03-07,Coffee,5
478,2023-03-07,Cookie,9
479,2023-03-07,Juice,7
480,2023-03-07,Salad,8
481,2023-03-07,Sandwich,9
482,2023-03-07,Smoothie,10
483,2023-03-07,Tea,11
484,2023-03-08,Cake,9
485,2023-03-08,Coffee,7
486,2023-03-08,Cookie,22
487,2023-03-08,Juice,6
488,2023-03-08,Salad,6
489,2023-03-08,Smoothie,5
490,2023-03-08,Tea,7
491,2023-03-09,Cake,4
492,2023-03-09,Coffee,1
493,2023-03-09,Cookie,5
494,2023-03-09,Juice,15
495,2023-03-09,Salad,5
496,2023-03-09,Sandwich,4
497,2023-03-09,Smoothie,1
498,2023-03-09,Tea,1
499,2023-03-10,Cake,2
500,2023-03-10,Coffee,7
501,2023-03-10,Cookie,10
502,2023-03-10,Juice,3
503,2023-03-10,Sandwich,20
504,2023-03-10,Smoothie,5
505,2023-03-10,Tea,1
506,2023-03-11,Coffee,5
507,2023-03-11,Cookie,4
508,2023-03-11,Juice,6
509,2023-03-11,Salad,9
510,2023-03-11,Sandwich,8
511,2023-03-11,Smoothie,6
512,2023-03-11,Tea,4
513,2023-03-12,Cake,8
514,2023-03-12,Coffee,4
515,2023-03-12,Juice,8
516,2023-03-12,Salad,5
517,2023-03-12,Sandwich,12
518,2023-03-12,Smoothie,7
519,2023-03-13,Cake,8
520,2023-03-13,Coffee,4
521,2023-03-13,Cookie,10
522,2023-03-13,Juice,13
523,2023-03-13,Salad,6
524,2023-03-13,Sandwich,14
525,2023-03-13,Smoothie,12
526,2023-03-13,Tea,9
527,2023-03-14,Cake,11
528,2023-03-14,Coffee,11
529,2023-03-14,Cookie,12
530,2023-03-14,Juice,6
531,2023-03-14,Salad,3
532,2023-03-14,Sandwich,6
533,2023-03-14,Smoothie,7
534,2023-03-14,Tea,1
535,2023-03-15,Cake,5
536,2023-03-15,Coffee,6
537,2023-03-15,Cookie,7
538,2023-03-15,Juice,14
539,2023-03-15,Salad,1
540,2023-03-15,Sandwich,2
541,2023-03-15,Smoothie,7
542,2023-03-15,Tea,2
543,2023-03-16,Cake,14
544,2023-03-16,Coffee,23
545,2023-03-16,Cookie,1
546,2023-03-16,Juice,10
547,2023-03-16,Salad,7
548,2023-03-16,Sandwich,11
549,2023-03-16,Smoothie,5
550,2023-03-16,Tea,10
551,2023-03-17,Cake,10
552,2023-03-17,Coffee,8
553,2023-03-17,Salad,2
554,2023-03-17,Sandwich,9
555,2023-03-17,Smoothie,7
556,2023-03-17,Tea,10
557,2023-03-18,Cake,14
558,2023-03-18,Coffee,6
559,2023-03-18,Cookie,12
560,2023-03-18,Juice,1
561,2023-03-18,Salad,12
562,2023-03-18,Sandwich,20
563,2023-03-18,Tea,9
564,2023-03-19,Cake,11
565,2023-03-19,Coffee,6
566,2023-03-19,Juice,11
567,2023-03-19,Salad,14
568,2023-03-19,Sandwich,1
569,2023-03-19,Smoothie,23
570,2023-03-20,Cake,1
571,2023-03-20,Coffee,11
572,2023-03-20,Cookie,15
573,2023-03-20,Juice,4
574,2023-03-20,Salad,8
575,2023-03-20,Sandwich,1
576,2023-03-20,Smoothie,12
577,2023-03-20,Tea,8
578,2023-03-21,Cake,6
579,2023-03-21,Coffee,9
580,2023-03-21,Cookie,5
581,2023-03-21,Juice,17
582,2023-03-21,Salad,1
583,2023-03-21,Sandwich,5
584,2023-03-21,Smoothie,1
585,2023-03-21,Tea,5
586,2023-03-22,Cake,2
587,2023-03-22,Coffee,6
588,2023-03-22,Cookie,5
589,2023-03-22,Juice,2
590,2023-03-22,Salad,12
591,2023-03-22,Sandwich,6
592,2023-03-22,Smoothie,4
593,2023-03-22,Tea,15
594,2023-03-23,Cake,21
595,2023-03-23,Coffee,5
596,2023-03-23,Juice,15
597,2023-03-23,Salad,1
598,2023-03-23,Sandwich,9
599,2023-03-23,Smoothie,6
600,2023-03-23,Tea,7
601,2023-03-24,Cake,7
602,2023-03-24,Coffee,7
603,2023-03-24,Cookie,8
604,2023-03-24,Juice,3
605,2023-03-24,Salad,4
606,2023-03-24,Sandwich,12
607,2023-03-24,Smoothie,11
608,2023-03-24,Tea,7
609,2023-03-25,Cake,5
610,2023-03-25,Coffee,3
611,2023-03-25,Juice,9
612,2023-03-25,Salad,9
613,2023-03-25,Sandwich,5
614,2023-03-25,Tea,3
615,2023-03-26,Cake,2
616,2023-03-26,Coffee,11
617,2023-03-26,Cookie,12
618,2023-03-26,Juice,14
619,2023-03-26,Salad,17
620,2023-03-26,Sandwich,6
621,2023-03-26,Smoothie,2
622,2023-03-26,Tea,9
623,2023-03-27,Coffee,15
624,2023-03-27,Cookie,5
625,2023-03-27,Juice,14
626,2023-03-27,Salad,1
627,2023-03-27,Sandwich,5
628,2023-03-27,Smoothie,2
629,2023-03-27,Tea,14
630,2023-03-28,Cake,4
631,2023-03-28,Coffee,6
632,2023-03-28,Cookie,9
633,2023-03-28,Juice,19
634,2023-03-28,Salad,9
635,2023-03-28,Sandwich,13
636,2023-03-28,Smoothie,5
637,2023-03-28,Tea,3
638,2023-03-29,Cake,6
639,2023-03-29,Coffee,11
640,2023-03-29,Cookie,3
641,2023-03-29,Juice,6
642,2023-03-29,Salad,8
643,2023-03-29,Sandwich,7
644,2023-03-30,Cake,2
645,2023-03-30,Coffee,7
646,2023-03-30,Cookie,9
647,2023-03-30,Juice,20
648,2023-03-30,Salad,8
649,2023-03-30,Smoothie,11
650,2023-03-30,Tea,2
651,2023-03-31,Cake,5
652,2023-03-31,Coffee,4
653,2023-03-31,Cookie,9
654,2023-03-31,Juice,7
655,2023-03-31,Salad,2
656,2023-03-31,Sandwich,2
657,2023-03-31,Smoothie,20
658,2023-03-31,Tea,14
659,2023-04-01,Cake,6
660,2023-04-01,Coffee,24
661,2023-04-01,Cookie,9
662,2023-04-01,Salad,8
663,2023-04-01,Sandwich,5
664,2023-04-01,Smoothie,13
665,2023-04-01,Tea,14
666,2023-04-02,Cake,8
667,2023-04-02,Coffee,8
668,2023-04-02,Cookie,19
669,2023-04-02,Juice,19
670,2023-04-02,Salad,7
671,2023-04-02,Sandwich,5
672,2023-04-02,Smoothie,2
673,2023-04-02,Tea,5
674,2023-04-03,Cake,2
675,2023-04-03,Coffee,13
676,2023-04-03,Cookie,5
677,2023-04-03,Juice,4
678,2023-04-03,Salad,5
679,2023-04-03,Smoothie,4
680,2023-04-03,Tea,4
681,2023-04-04,Cake,1
682,2023-04-04,Cookie,2
683,2023-04-04,Juice,14
684,2023-04-04,Salad,9
685,2023-04-04,Sandwich,3
